San Bernardino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197710,0.18,-0.19
197711,0.08,-0.42
197712,1.59,0.71
197801,3.33,2.16
197802,2.82,1.65
197803,2.82,1.86
197804,0.72,0.34
197805,0.19,0.03
197806,0.00,-0.05
197807,0.18,-0.18
197808,0.17,-0.36
197809,0.27,-0.07
197810,0.58,0.21
197811,1.16,0.66
197812,1.05,0.17
197901,2.30,1.13
197902,1.03,-0.14
197903,2.18,1.22
197904,0.00,-0.38
197905,0.10,-0.06
197906,0.01,-0.04
197907,1.24,0.88
197908,1.10,0.57
197909,0.05,-0.29
197910,0.26,-0.11
197911,0.02,-0.48
197912,0.33,-0.55
198001,3.43,2.26
198002,4.37,3.20
198003,1.63,0.67
198004,0.53,0.15
198005,0.34,0.18
198006,0.07,0.02
198007,0.38,0.02
198008,0.02,-0.51
198009,0.29,-0.05
198010,0.07,-0.30
198011,0.00,-0.50
198012,0.07,-0.81
198101,0.87,-0.30
198102,0.52,-0.65
198103,1.65,0.69
198104,0.10,-0.28
198105,0.41,0.25
198106,0.02,-0.03
198107,0.12,-0.24
198108,0.33,-0.20
198109,0.58,0.24
198110,0.38,0.01
198111,0.59,0.09
198112,0.06,-0.82
198201,1.26,0.09
198202,0.73,-0.44
198203,1.87,0.91
198204,0.63,0.25
198205,0.32,0.16
198206,0.03,-0.02
198207,0.45,0.09
198208,1.07,0.54
198209,0.55,0.21
198210,0.14,-0.23
198211,1.48,0.98
198212,1.48,0.60
198301,1.52,0.35
198302,1.72,0.55
198303,3.51,2.55
198304,0.87,0.49
198305,0.03,-0.13
198306,0.01,-0.04
198307,0.02,-0.34
198308,2.38,1.85
198309,0.68,0.34
198310,1.09,0.72
198311,0.57,0.07
198312,1.22,0.34
198401,0.03,-1.14
198402,0.02,-1.15
198403,0.03,-0.93
198404,0.07,-0.31
198405,0.01,-0.15
198406,0.02,-0.03
198407,1.68,1.32
198408,1.21,0.68
198409,0.30,-0.04
198410,0.03,-0.34
198411,0.93,0.43
198412,3.23,2.35
198501,0.67,-0.50
198502,0.29,-0.88
198503,0.30,-0.66
198504,0.08,-0.30
198505,0.02,-0.14
198506,0.02,-0.03
198507,0.41,0.05
198508,0.00,-0.53
198509,0.62,0.28
198510,0.16,-0.21
198511,1.61,1.11
198512,0.35,-0.53
198601,0.61,-0.56
198602,1.27,0.10
198603,1.37,0.41
198604,0.16,-0.22
198605,0.02,-0.14
198606,0.00,-0.05
198607,0.59,0.23
198608,0.48,-0.05
198609,0.30,-0.04
198610,0.44,0.07
198611,0.54,0.04
198612,1.12,0.24
198701,0.90,-0.27
198702,0.47,-0.70
198703,0.67,-0.29
198704,0.11,-0.27
198705,0.33,0.17
198706,0.17,0.12
198707,0.30,-0.06
198708,0.10,-0.43
198709,0.30,-0.04
198710,1.53,1.16
198711,1.30,0.80
198712,1.11,0.23
198801,1.17,0.00
198802,0.64,-0.53
198803,0.13,-0.83
198804,1.27,0.89
198805,0.05,-0.11
198806,0.05,0.00
198807,0.12,-0.24
198808,1.61,1.08
198809,0.03,-0.31
198810,0.00,-0.37
198811,0.29,-0.21
198812,0.68,-0.20
198901,1.18,0.01
198902,0.40,-0.77
198903,0.33,-0.63
198904,0.01,-0.37
198905,0.11,-0.05
198906,0.00,-0.05
198907,0.09,-0.27
198908,0.26,-0.27
198909,0.13,-0.21
198910,0.11,-0.26
198911,0.04,-0.46
198912,0.06,-0.82
199001,1.04,-0.13
199002,0.63,-0.54
199003,0.17,-0.79
199004,0.27,-0.11
199005,0.23,0.07
199006,0.12,0.07
199007,0.70,0.34
199008,0.40,-0.13
199009,0.43,0.09
199010,0.18,-0.19
199011,0.15,-0.35
199012,0.07,-0.81
199101,1.00,-0.17
