Butte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198310,2.15,-0.24
198311,14.55,9.20
198312,16.88,9.30
198401,0.67,-8.06
198402,4.85,-2.76
198403,3.69,-2.65
198404,2.34,-0.90
198405,0.48,-1.28
198406,0.90,0.27
198407,0.01,-0.02
198408,0.75,0.65
198409,0.31,-0.34
198410,3.44,1.05
198411,11.86,6.51
198412,2.60,-4.98
198501,1.31,-7.42
198502,3.59,-4.02
198503,5.72,-0.62
198504,0.41,-2.83
198505,0.11,-1.65
198506,0.04,-0.59
198507,0.03,0.00
198508,0.08,-0.02
198509,2.77,2.12
198510,1.49,-0.90
198511,7.35,2.00
198512,3.78,-3.80
198601,9.58,0.85
198602,18.37,10.76
198603,8.29,1.95
198604,2.03,-1.21
198605,1.43,-0.33
198606,0.11,-0.52
198607,0.02,-0.01
198608,0.00,-0.10
198609,3.13,2.48
198610,0.80,-1.59
198611,0.82,-4.53
198612,2.55,-5.03
198701,5.78,-2.95
198702,5.53,-2.08
198703,9.10,2.76
198704,0.48,-2.76
198705,0.30,-1.46
198706,0.04,-0.59
198707,0.11,0.08
198708,0.00,-0.10
198709,0.01,-0.64
198710,1.16,-1.23
198711,4.49,-0.86
198712,11.69,4.11
198801,7.86,-0.87
198802,0.56,-7.05
198803,1.08,-5.26
198804,4.11,0.87
198805,2.38,0.62
198806,0.81,0.18
198807,0.01,-0.02
198808,0.00,-0.10
198809,0.01,-0.64
198810,0.06,-2.33
198811,10.48,5.13
198812,5.34,-2.24
198901,2.58,-6.15
198902,2.28,-5.33
198903,15.23,8.89
198904,1.94,-1.30
198905,0.58,-1.18
198906,0.47,-0.16
198907,0.00,-0.03
198908,0.11,0.01
198909,2.93,2.28
198910,5.57,3.18
198911,2.38,-2.97
198912,0.02,-7.56
199001,8.45,-0.28
199002,4.42,-3.19
199003,2.96,-3.38
199004,0.98,-2.26
199005,5.97,4.21
199006,0.11,-0.52
199007,0.03,0.00
199008,0.18,0.08
199009,0.30,-0.35
199010,1.14,-1.25
199011,1.44,-3.91
199012,1.81,-5.77
199101,1.14,-7.59
199102,3.55,-4.06
199103,19.22,12.88
199104,1.39,-1.85
199105,1.59,-0.17
199106,0.98,0.35
199107,0.01,-0.02
199108,0.07,-0.03
199109,0.01,-0.64
199110,2.51,0.12
199111,1.68,-3.67
199112,4.83,-2.75
199201,3.62,-5.11
199202,11.83,4.22
199203,5.77,-0.57
199204,2.72,-0.52
199205,0.13,-1.63
199206,1.88,1.25
199207,0.03,0.00
199208,0.02,-0.08
199209,0.00,-0.65
199210,4.15,1.76
199211,0.84,-4.51
199212,11.65,4.07
199301,17.13,8.40
199302,11.15,3.54
