Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196008,0.06,-0.21
196009,0.25,-0.59
196010,0.88,-1.48
196011,8.88,4.02
196012,3.21,-3.42
196101,2.95,-4.81
196102,4.32,-2.41
196103,5.81,0.14
196104,2.34,-0.59
196105,2.38,0.36
196106,1.00,0.07
196107,0.07,-0.15
196108,0.74,0.47
196109,0.28,-0.56
196110,1.28,-1.08
196111,4.40,-0.46
196112,3.94,-2.69
196201,3.30,-4.46
196202,15.95,9.22
196203,5.47,-0.20
196204,0.89,-2.04
196205,1.50,-0.52
196206,0.41,-0.52
196207,0.23,0.01
196208,0.40,0.13
196209,0.26,-0.58
196210,12.43,10.07
196211,2.77,-2.09
196212,4.58,-2.05
196301,6.04,-1.72
196302,4.54,-2.19
196303,6.33,0.66
196304,9.60,6.67
196305,2.41,0.39
196306,1.33,0.40
196307,0.04,-0.18
196308,0.10,-0.17
196309,1.44,0.60
196310,2.73,0.37
196311,9.03,4.17
196312,0.97,-5.66
196401,7.22,-0.54
196402,0.48,-6.25
196403,3.09,-2.58
196404,1.26,-1.67
196405,2.92,0.90
196406,1.66,0.73
196407,0.09,-0.13
196408,0.06,-0.21
196409,0.29,-0.55
196410,0.72,-1.64
196411,6.95,2.09
196412,20.66,14.03
196501,11.13,3.37
196502,1.30,-5.43
196503,2.96,-2.71
196504,5.06,2.13
196505,0.59,-1.43
196506,1.07,0.14
196507,0.32,0.10
196508,1.41,1.14
196509,0.38,-0.46
196510,0.18,-2.18
196511,9.65,4.79
196512,5.13,-1.50
196601,3.84,-3.92
196602,2.41,-4.32
196603,2.28,-3.39
196604,2.21,-0.72
196605,0.79,-1.23
196606,0.14,-0.79
196607,0.09,-0.13
196608,0.08,-0.19
196609,0.15,-0.69
196610,0.01,-2.35
196611,11.14,6.28
196612,8.51,1.88
196701,14.75,6.99
196702,0.71,-6.02
196703,9.68,4.01
196704,5.59,2.66
196705,1.86,-0.16
196706,2.76,1.83
196707,0.14,-0.08
196708,0.20,-0.07
196709,0.44,-0.40
196710,1.99,-0.37
196711,3.68,-1.18
196712,5.11,-1.52
196801,9.74,1.98
196802,5.00,-1.73
196803,4.40,-1.27
196804,0.41,-2.52
196805,1.22,-0.80
196806,0.57,-0.36
196807,0.19,-0.03
196808,1.14,0.87
196809,0.09,-0.75
196810,2.81,0.45
196811,5.53,0.67
196812,10.36,3.73
196901,20.32,12.56
196902,9.57,2.84
196903,1.41,-4.26
196904,2.94,0.01
196905,0.38,-1.64
196906,2.18,1.25
196907,0.06,-0.16
196908,0.00,-0.27
196909,0.02,-0.82
196910,2.93,0.57
196911,2.31,-2.55
196912,13.12,6.49
197001,20.06,12.30
197002,3.53,-3.20
197003,3.83,-1.84
197004,1.47,-1.46
197005,0.88,-1.14
197006,1.67,0.74
197007,0.04,-0.18
197008,0.05,-0.22
197009,0.08,-0.76
197010,2.41,0.05
197011,11.86,7.00
197012,11.03,4.40
197101,4.42,-3.34
197102,0.61,-6.12
197103,9.12,3.45
197104,2.66,-0.27
197105,4.22,2.20
197106,1.61,0.68
197107,0.30,0.08
197108,0.16,-0.11
197109,1.38,0.54
197110,0.36,-2.00
197111,3.23,-1.63
197112,9.04,2.41
197201,3.09,-4.67
197202,4.47,-2.26
197203,1.86,-3.81
197204,3.92,0.99
197205,1.72,-0.30
197206,0.49,-0.44
197207,0.02,-0.20
197208,0.18,-0.09
197209,1.75,0.91
197210,3.71,1.35
197211,6.05,1.19
197212,4.73,-1.90
197301,12.01,4.25
197302,8.07,1.34
197303,3.08,-2.59
197304,0.59,-2.34
197305,1.44,-0.58
197306,0.13,-0.80
197307,0.38,0.16
197308,0.56,0.29
197309,1.02,0.18
197310,3.85,1.49
197311,15.97,11.11
197312,8.10,1.47
197401,8.72,0.96
197402,3.81,-2.92
197403,12.66,6.99
197404,2.56,-0.37
197405,0.34,-1.68
197406,0.25,-0.68
197407,1.10,0.88
197408,0.42,0.15
197409,0.00,-0.84
197410,1.80,-0.56
197411,2.30,-2.56
197412,4.14,-2.49
197501,2.43,-5.33
197502,11.08,4.35
197503,9.31,3.64
197504,3.52,0.59
197505,0.81,-1.21
197506,0.64,-0.29
197507,0.24,0.02
197508,1.33,1.06
197509,0.63,-0.21
197510,5.64,3.28
197511,2.03,-2.83
197512,1.31,-5.32
197601,0.85,-6.91
197602,4.31,-2.42
197603,1.74,-3.93
197604,1.40,-1.53
197605,0.10,-1.92
197606,0.38,-0.55
197607,0.27,0.05
197608,1.41,1.14
197609,1.59,0.75
197610,0.37,-1.99
197611,1.07,-3.79
197612,0.21,-6.42
197701,2.68,-5.08
197702,2.78,-3.95
197703,2.13,-3.54
197704,0.40,-2.53
197705,2.94,0.92
197706,0.90,-0.03
197707,0.14,-0.08
