Tehama County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197404,2.92,0.24
197405,0.30,-1.23
197406,0.28,-0.43
197407,0.44,0.37
197408,0.09,-0.07
197409,0.00,-0.63
197410,2.53,0.40
197411,1.55,-2.99
197412,6.00,-0.18
197501,2.23,-4.63
197502,9.92,3.90
197503,9.73,4.72
197504,2.83,0.15
197505,0.18,-1.35
197506,0.25,-0.46
197507,0.36,0.29
197508,0.75,0.59
197509,0.09,-0.54
197510,4.95,2.82
197511,1.58,-2.96
197512,1.94,-4.24
197601,0.57,-6.29
197602,3.70,-2.32
197603,1.89,-3.12
197604,2.72,0.04
197605,0.02,-1.51
197606,0.08,-0.63
197607,0.08,0.01
197608,0.95,0.79
197609,0.96,0.33
197610,0.24,-1.89
197611,1.21,-3.33
197612,0.61,-5.57
197701,3.05,-3.81
197702,1.93,-4.09
197703,2.83,-2.18
197704,0.88,-1.80
197705,3.51,1.98
197706,0.27,-0.44
197707,0.07,0.00
197708,0.20,0.04
197709,2.22,1.59
197710,0.46,-1.67
197711,4.20,-0.34
197712,8.11,1.93
197801,15.18,8.32
197802,7.49,1.47
197803,8.41,3.40
197804,6.63,3.95
197805,0.52,-1.01
197806,0.42,-0.29
197807,0.08,0.01
197808,0.18,0.02
197809,1.22,0.59
197810,0.00,-2.13
197811,2.42,-2.12
197812,0.99,-5.19
197901,7.20,0.34
197902,9.51,3.49
197903,4.84,-0.17
197904,2.58,-0.10
197905,1.32,-0.21
197906,0.03,-0.68
197907,0.04,-0.03
197908,0.44,0.28
197909,0.52,-0.11
197910,5.30,3.17
197911,5.58,1.04
197912,7.20,1.02
198001,6.45,-0.41
198002,10.50,4.48
198003,2.81,-2.20
198004,2.46,-0.22
198005,1.48,-0.05
198006,1.03,0.32
198007,0.11,0.04
198008,0.01,-0.15
198009,0.30,-0.33
198010,1.19,-0.94
198011,1.08,-3.46
198012,5.81,-0.37
198101,8.97,2.11
198102,2.90,-3.12
198103,6.04,1.03
198104,2.16,-0.52
198105,2.00,0.47
198106,0.04,-0.67
198107,0.01,-0.06
198108,0.00,-0.16
198109,1.27,0.64
198110,5.50,3.37
198111,11.54,7.00
198112,8.41,2.23
198201,5.17,-1.69
198202,4.31,-1.71
198203,7.62,2.61
198204,4.16,1.48
198205,0.12,-1.41
198206,1.72,1.01
198207,0.30,0.23
198208,0.10,-0.06
198209,1.48,0.85
198210,5.31,3.18
198211,7.68,3.14
198212,7.18,1.00
198301,9.95,3.09
198302,11.81,5.79
198303,15.78,10.77
198304,5.14,2.46
198305,0.99,-0.54
198306,0.81,0.10
198307,0.15,0.08
198308,0.51,0.35
198309,1.70,1.07
198310,1.33,-0.80
198311,12.95,8.41
198312,15.23,9.05
198401,0.56,-6.30
198402,3.70,-2.32
198403,2.84,-2.17
198404,2.09,-0.59
198405,0.46,-1.07
198406,0.75,0.04
198407,0.01,-0.06
198408,0.78,0.62
198409,0.42,-0.21
198410,3.13,1.00
198411,11.39,6.85
198412,2.77,-3.41
198501,0.98,-5.88
198502,2.24,-3.78
198503,4.72,-0.29
198504,0.36,-2.32
198505,0.39,-1.14
198506,0.16,-0.55
198507,0.09,0.02
198508,0.26,0.10
198509,2.28,1.65
198510,1.88,-0.25
198511,5.86,1.32
198512,3.78,-2.40
198601,7.91,1.05
198602,15.16,9.14
198603,7.25,2.24
198604,1.73,-0.95
198605,1.53,0.00
198606,0.07,-0.64
198607,0.01,-0.06
198608,0.00,-0.16
198609,2.45,1.82
198610,0.94,-1.19
198611,0.61,-3.93
198612,2.29,-3.89
198701,5.22,-1.64
198702,4.46,-1.56
198703,7.21,2.20
198704,0.34,-2.34
198705,0.34,-1.19
198706,0.05,-0.66
198707,0.17,0.10
198708,0.00,-0.16
198709,0.02,-0.61
198710,1.09,-1.04
198711,3.46,-1.08
198712,10.28,4.10
198801,7.34,0.48
198802,0.30,-5.72
198803,0.90,-4.11
198804,3.06,0.38
198805,2.72,1.19
198806,1.39,0.68
198807,0.03,-0.04
198808,0.02,-0.14
198809,0.00,-0.63
198810,0.16,-1.97
198811,8.34,3.80
198812,4.11,-2.07
198901,2.42,-4.44
198902,1.52,-4.50
198903,11.47,6.46
198904,2.13,-0.55
198905,0.98,-0.55
198906,0.75,0.04
198907,0.00,-0.07
198908,0.17,0.01
198909,2.92,2.29
198910,4.67,2.54
198911,1.61,-2.93
198912,0.01,-6.17
199001,6.60,-0.26
199002,2.88,-3.14
199003,2.31,-2.70
199004,0.65,-2.03
199005,4.98,3.45
199006,0.20,-0.51
199007,0.17,0.10
199008,0.46,0.30
199009,0.40,-0.23
199010,0.99,-1.14
199011,1.10,-3.44
199012,1.34,-4.84
199101,0.82,-6.04
199102,3.63,-2.39
199103,13.04,8.03
199104,1.78,-0.90
199105,1.31,-0.22
199106,0.50,-0.21
199107,0.15,0.08
199108,0.04,-0.12
199109,0.01,-0.62
199110,1.56,-0.57
199111,1.66,-2.88
199112,4.62,-1.56
199201,3.12,-3.74
199202,9.54,3.52
199203,4.84,-0.17
199204,2.27,-0.41
199205,0.18,-1.35
199206,1.82,1.11
199207,0.14,0.07
199208,0.02,-0.14
199209,0.02,-0.61
199210,3.50,1.37
199211,0.95,-3.59
199212,9.91,3.73
199301,12.89,6.03
199302,8.79,2.77
199303,4.50,-0.51
