Sutter County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198402,1.86,-1.63
198403,1.53,-1.14
198404,0.54,-0.73
198405,0.05,-0.60
198406,0.15,-0.06
198407,0.00,0.00
198408,0.25,0.22
198409,0.13,-0.14
198410,2.12,1.10
198411,5.71,3.47
198412,1.41,-1.78
198501,0.96,-2.97
198502,1.53,-1.96
198503,2.60,-0.07
198504,0.18,-1.09
198505,0.01,-0.64
198506,0.05,-0.16
198507,0.00,0.00
198508,0.07,0.04
198509,0.76,0.49
198510,0.74,-0.28
198511,3.84,1.60
198512,2.07,-1.12
198601,4.15,0.22
198602,8.13,4.64
198603,3.77,1.10
198604,0.69,-0.58
198605,0.23,-0.42
198606,0.00,-0.21
198607,0.00,0.00
198608,0.00,-0.03
198609,1.28,1.01
198610,0.28,-0.74
198611,0.29,-1.95
198612,1.23,-1.96
198701,2.68,-1.25
198702,2.91,-0.58
198703,3.39,0.72
198704,0.12,-1.15
198705,0.05,-0.60
198706,0.00,-0.21
198707,0.00,0.00
198708,0.00,-0.03
198709,0.00,-0.27
198710,1.07,0.05
198711,2.49,0.25
198712,4.82,1.63
198801,4.10,0.17
198802,0.42,-3.07
198803,0.41,-2.26
198804,1.99,0.72
198805,0.84,0.19
198806,0.34,0.13
198807,0.01,0.01
198808,0.00,-0.03
198809,0.01,-0.26
198810,0.08,-0.94
198811,3.53,1.29
198812,3.12,-0.07
198901,1.22,-2.71
198902,1.22,-2.27
198903,6.19,3.52
198904,0.51,-0.76
198905,0.21,-0.44
198906,0.44,0.23
198907,0.00,0.00
198908,0.14,0.11
198909,1.52,1.25
198910,1.70,0.68
198911,1.09,-1.15
198912,0.03,-3.16
199001,4.70,0.77
199002,2.82,-0.67
199003,1.41,-1.26
199004,0.30,-0.97
199005,2.48,1.83
199006,0.00,-0.21
199007,0.00,0.00
199008,0.00,-0.03
199009,0.07,-0.20
199010,0.37,-0.65
199011,0.65,-1.59
199012,1.26,-1.93
199101,0.68,-3.25
199102,2.71,-0.78
199103,8.86,6.19
199104,0.37,-0.90
199105,0.55,-0.10
199106,0.53,0.32
199107,0.02,0.02
199108,0.07,0.04
199109,0.01,-0.26
199110,0.90,-0.12
199111,0.56,-1.68
199112,2.51,-0.68
199201,2.18,-1.75
199202,6.76,3.27
199203,3.19,0.52
199204,1.04,-0.23
199205,0.02,-0.63
199206,0.52,0.31
199207,0.00,0.00
199208,0.00,-0.03
199209,0.00,-0.27
199210,1.76,0.74
199211,0.35,-1.89
199212,5.65,2.46
199301,8.89,4.96
199302,6.07,2.58
199303,2.24,-0.43
199304,1.13,-0.14
199305,1.51,0.86
199306,0.72,0.51
