Sierra County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197006,1.77,0.88
197007,0.12,-0.11
197008,0.09,-0.19
197009,0.24,-0.63
197010,2.42,-0.18
197011,13.18,7.82
197012,13.24,6.03
197101,5.40,-3.17
197102,1.01,-6.76
197103,9.58,3.11
197104,3.01,-0.31
197105,4.46,2.29
197106,1.29,0.40
197107,0.33,0.10
197108,0.30,0.02
197109,1.09,0.22
197110,0.74,-1.86
197111,4.39,-0.97
197112,9.01,1.80
197201,3.63,-4.94
197202,5.09,-2.68
197203,2.04,-4.43
197204,4.76,1.44
197205,1.65,-0.52
197206,0.62,-0.27
197207,0.00,-0.23
197208,0.21,-0.07
197209,2.31,1.44
197210,3.86,1.26
197211,7.35,1.99
197212,6.64,-0.57
197301,13.22,4.65
197302,8.44,0.67
197303,4.02,-2.45
197304,0.78,-2.54
197305,1.27,-0.90
197306,0.19,-0.70
197307,0.20,-0.03
197308,0.84,0.56
197309,1.09,0.22
197310,3.93,1.33
197311,16.74,11.38
197312,8.28,1.07
197401,8.24,-0.33
197402,3.38,-4.39
197403,12.95,6.48
197404,3.13,-0.19
197405,0.24,-1.93
197406,0.23,-0.66
197407,1.10,0.87
197408,0.38,0.10
197409,0.00,-0.87
197410,2.09,-0.51
197411,2.78,-2.58
197412,4.09,-3.12
197501,3.24,-5.33
197502,12.95,5.18
197503,10.95,4.48
197504,4.48,1.16
197505,1.17,-1.00
197506,0.64,-0.25
197507,0.14,-0.09
197508,1.30,1.02
197509,0.82,-0.05
197510,6.62,4.02
197511,2.45,-2.91
197512,1.66,-5.55
197601,1.02,-7.55
197602,4.75,-3.02
197603,2.43,-4.04
197604,1.62,-1.70
197605,0.35,-1.82
197606,0.51,-0.38
197607,0.23,0.00
197608,1.64,1.36
197609,1.37,0.50
197610,0.65,-1.95
197611,1.46,-3.90
197612,0.24,-6.97
197701,3.38,-5.19
197702,3.62,-4.15
197703,2.47,-4.00
197704,0.43,-2.89
197705,4.06,1.89
197706,0.82,-0.07
197707,0.15,-0.08
197708,0.39,0.11
197709,1.18,0.31
197710,0.52,-2.08
197711,4.22,-1.14
197712,11.11,3.90
197801,15.33,6.76
197802,7.29,-0.48
197803,7.19,0.72
197804,6.01,2.69
197805,1.75,-0.42
197806,0.48,-0.41
197807,0.25,0.02
197808,0.19,-0.09
197809,2.76,1.89
197810,0.07,-2.53
197811,3.20,-2.16
197812,2.31,-4.90
197901,6.70,-1.87
197902,9.69,1.92
197903,5.00,-1.47
197904,3.47,0.15
197905,2.80,0.63
197906,0.22,-0.67
197907,0.59,0.36
197908,0.60,0.32
197909,0.12,-0.75
197910,5.96,3.36
197911,3.29,-2.07
197912,7.72,0.51
198001,15.74,7.17
198002,12.19,4.42
198003,4.53,-1.94
198004,2.85,-0.47
198005,2.53,0.36
198006,0.70,-0.19
198007,0.71,0.48
198008,0.13,-0.15
198009,0.29,-0.58
198010,1.42,-1.18
198011,1.78,-3.58
198012,4.35,-2.86
198101,8.57,0.00
198102,3.52,-4.25
198103,6.27,-0.20
198104,1.60,-1.72
198105,2.36,0.19
198106,0.10,-0.79
198107,0.05,-0.18
198108,0.01,-0.27
198109,1.06,0.19
198110,6.40,3.80
198111,18.45,13.09
198112,13.94,6.73
198201,7.90,-0.67
198202,7.56,-0.21
198203,10.94,4.47
198204,9.79,6.47
198205,0.43,-1.74
198206,1.37,0.48
198207,0.41,0.18
198208,0.19,-0.09
198209,3.76,2.89
198210,7.66,5.06
198211,9.28,3.92
198212,9.98,2.77
198301,8.29,-0.28
198302,13.02,5.25
198303,15.73,9.26
198304,6.49,3.17
198305,1.27,-0.90
198306,1.04,0.15
198307,0.26,0.03
198308,1.06,0.78
198309,2.05,1.18
198310,3.30,0.70
198311,18.77,13.41
198312,15.29,8.08
198401,0.75,-7.82
198402,6.40,-1.37
198403,4.33,-2.14
198404,2.84,-0.48
198405,0.95,-1.22
198406,1.37,0.48
198407,0.58,0.35
198408,0.44,0.16
198409,0.43,-0.44
198410,3.79,1.19
198411,11.47,6.11
198412,2.20,-5.01
198501,1.07,-7.50
198502,4.89,-2.88
198503,7.53,1.06
198504,0.62,-2.70
198505,0.13,-2.04
198506,0.34,-0.55
198507,0.38,0.15
198508,0.18,-0.10
198509,2.15,1.28
198510,1.59,-1.01
198511,7.78,2.42
198512,4.85,-2.36
198601,6.89,-1.68
198602,25.02,17.25
198603,9.59,3.12
198604,1.81,-1.51
198605,1.54,-0.63
198606,0.16,-0.73
198607,0.30,0.07
198608,0.04,-0.24
198609,3.88,3.01
198610,0.64,-1.96
198611,0.74,-4.62
198612,1.29,-5.92
198701,5.18,-3.39
198702,5.95,-1.82
198703,5.94,-0.53
198704,0.79,-2.53
198705,1.58,-0.59
198706,0.33,-0.56
198707,0.35,0.12
198708,0.01,-0.27
198709,0.01,-0.86
198710,1.19,-1.41
198711,2.66,-2.70
198712,9.29,2.08
198801,6.91,-1.66
198802,0.44,-7.33
198803,0.92,-5.55
198804,3.19,-0.13
198805,1.92,-0.25
198806,1.22,0.33
198807,0.53,0.30
198808,0.06,-0.22
198809,0.18,-0.69
198810,0.15,-2.45
198811,12.53,7.17
198812,5.31,-1.90
198901,3.07,-5.50
198902,4.21,-3.56
198903,15.39,8.92
198904,2.11,-1.21
198905,1.63,-0.54
198906,1.25,0.36
198907,0.02,-0.21
198908,1.40,1.12
198909,3.05,2.18
198910,6.55,3.95
198911,3.98,-1.38
198912,0.02,-7.19
199001,6.49,-2.08
199002,5.35,-2.42
199003,2.72,-3.75
199004,2.06,-1.26
199005,5.21,3.04
199006,0.30,-0.59
199007,0.52,0.29
199008,0.45,0.17
199009,1.14,0.27
199010,0.77,-1.83
199011,1.64,-3.72
199012,1.68,-5.53
199101,0.62,-7.95
199102,2.56,-5.21
199103,17.78,11.31
199104,1.66,-1.66
199105,2.81,0.64
199106,1.28,0.39
199107,0.51,0.28
199108,1.02,0.74
199109,0.48,-0.39
199110,3.78,1.18
