Merced County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196103,1.35,-0.54
196104,0.46,-0.46
196105,0.68,0.29
196106,0.03,-0.04
196107,0.01,0.01
196108,0.03,0.02
196109,0.08,-0.08
196110,0.01,-0.51
196111,2.06,0.88
196112,1.16,-0.62
196201,1.48,-0.78
196202,5.65,3.55
196203,1.14,-0.75
196204,0.05,-0.87
196205,0.02,-0.37
196206,0.00,-0.07
196207,0.01,0.01
196208,0.00,-0.01
196209,0.00,-0.16
196210,0.51,-0.01
196211,0.17,-1.01
196212,1.84,0.06
196301,1.98,-0.28
196302,3.09,0.99
196303,1.95,0.06
196304,2.68,1.76
196305,0.39,0.00
196306,0.10,0.03
196307,0.00,0.00
196308,0.00,-0.01
196309,0.19,0.03
196310,1.28,0.76
196311,2.06,0.88
196312,0.16,-1.62
196401,1.18,-1.08
196402,0.08,-2.02
196403,1.39,-0.50
196404,0.46,-0.46
196405,0.26,-0.13
196406,0.30,0.23
196407,0.00,0.00
196408,0.07,0.06
196409,0.09,-0.07
196410,1.45,0.93
196411,1.77,0.59
196412,3.38,1.60
196501,1.31,-0.95
196502,0.53,-1.57
196503,1.13,-0.76
196504,2.16,1.24
196505,0.01,-0.38
196506,0.00,-0.07
196507,0.00,0.00
196508,0.08,0.07
196509,0.00,-0.16
196510,0.09,-0.43
196511,4.58,3.40
196512,2.04,0.26
196601,0.94,-1.32
196602,0.74,-1.36
196603,0.16,-1.73
196604,0.33,-0.59
196605,0.22,-0.17
196606,0.00,-0.07
196607,0.04,0.04
196608,0.00,-0.01
196609,0.07,-0.09
196610,0.00,-0.52
196611,1.72,0.54
196612,2.94,1.16
196701,2.98,0.72
196702,0.30,-1.80
196703,2.00,0.11
196704,3.80,2.88
196705,0.25,-0.14
196706,0.23,0.16
196707,0.00,0.00
196708,0.00,-0.01
196709,0.05,-0.11
196710,0.12,-0.40
196711,1.44,0.26
196712,0.97,-0.81
196801,1.26,-1.00
196802,1.37,-0.73
196803,1.43,-0.46
196804,0.47,-0.45
196805,0.10,-0.29
196806,0.00,-0.07
196807,0.00,0.00
196808,0.02,0.01
196809,0.00,-0.16
196810,0.74,0.22
196811,2.16,0.98
196812,2.52,0.74
196901,6.39,4.13
196902,4.76,2.66
196903,0.78,-1.11
196904,1.41,0.49
196905,0.01,-0.38
196906,0.02,-0.05
196907,0.01,0.01
196908,0.00,-0.01
196909,0.41,0.25
196910,0.99,0.47
196911,1.07,-0.11
196912,1.13,-0.65
197001,3.78,1.52
197002,1.01,-1.09
197003,1.58,-0.31
197004,0.19,-0.73
197005,0.00,-0.39
197006,0.09,0.02
197007,0.00,0.00
197008,0.00,-0.01
197009,0.00,-0.16
