Lassen County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198102,1.69,-1.11
198103,2.34,-0.10
198104,1.09,-0.42
198105,2.03,0.54
198106,0.23,-0.81
198107,0.01,-0.30
198108,0.02,-0.28
198109,0.92,0.29
198110,3.38,2.09
198111,7.81,5.56
198112,4.18,1.18
198201,2.13,-1.20
198202,1.93,-0.87
198203,3.29,0.85
198204,2.40,0.89
198205,0.40,-1.09
198206,1.45,0.41
198207,0.39,0.08
198208,0.41,0.11
198209,1.79,1.16
198210,3.16,1.87
198211,3.53,1.28
198212,3.16,0.16
198301,3.34,0.01
198302,4.80,2.00
198303,5.36,2.92
198304,2.54,1.03
198305,0.82,-0.67
198306,1.18,0.14
198307,0.04,-0.27
198308,1.14,0.84
198309,0.92,0.29
198310,1.52,0.23
198311,6.36,4.11
198312,6.18,3.18
198401,0.24,-3.09
198402,2.15,-0.65
198403,1.48,-0.96
198404,1.21,-0.30
198405,0.62,-0.87
198406,0.92,-0.12
198407,0.31,0.00
198408,0.78,0.48
198409,0.53,-0.10
198410,2.11,0.82
198411,4.69,2.44
198412,0.92,-2.08
198501,0.77,-2.56
198502,1.68,-1.12
198503,2.36,-0.08
198504,0.14,-1.37
198505,0.43,-1.06
198506,0.13,-0.91
198507,0.22,-0.09
198508,0.06,-0.24
198509,1.98,1.35
198510,0.79,-0.50
198511,3.19,0.94
198512,1.64,-1.36
198601,2.45,-0.88
198602,9.16,6.36
198603,3.26,0.82
198604,1.74,0.23
198605,1.73,0.24
198606,0.45,-0.59
198607,0.44,0.13
198608,0.04,-0.26
198609,2.37,1.74
198610,0.41,-0.88
198611,0.53,-1.72
198612,0.59,-2.41
198701,2.18,-1.15
198702,1.73,-1.07
198703,2.35,-0.09
198704,0.80,-0.71
198705,2.36,0.87
198706,0.63,-0.41
198707,1.12,0.81
198708,0.01,-0.29
198709,0.04,-0.59
198710,0.28,-1.01
198711,0.85,-1.40
198712,3.45,0.45
198801,3.17,-0.16
198802,0.36,-2.44
198803,0.64,-1.80
198804,2.11,0.60
198805,1.11,-0.38
198806,0.82,-0.22
198807,0.25,-0.06
198808,0.08,-0.22
198809,0.14,-0.49
198810,0.06,-1.23
198811,5.51,3.26
198812,1.78,-1.22
198901,1.89,-1.44
198902,1.85,-0.95
198903,4.50,2.06
198904,0.70,-0.81
198905,1.84,0.35
198906,1.61,0.57
198907,0.00,-0.31
198908,0.82,0.52
198909,1.98,1.35
198910,2.08,0.79
198911,1.73,-0.52
198912,0.05,-2.95
199001,2.39,-0.94
199002,2.00,-0.80
199003,1.30,-1.14
199004,0.94,-0.57
199005,2.59,1.10
199006,0.50,-0.54
199007,0.40,0.09
199008,0.53,0.23
199009,0.48,-0.15
199010,0.58,-0.71
199011,1.06,-1.19
199012,0.99,-2.01
199101,0.72,-2.61
199102,1.25,-1.55
199103,5.77,3.33
199104,1.57,0.06
199105,2.42,0.93
199106,0.57,-0.47
199107,0.82,0.51
199108,0.21,-0.09
199109,0.33,-0.30
199110,0.96,-0.33
199111,1.42,-0.83
199112,1.44,-1.56
199201,0.52,-2.81
199202,1.87,-0.93
199203,1.33,-1.11
199204,0.75,-0.76
199205,0.32,-1.17
199206,1.39,0.35
199207,0.36,0.05
199208,0.38,0.08
199209,0.05,-0.58
199210,2.31,1.02
199211,0.46,-1.79
199212,5.65,2.65
199301,5.92,2.59
199302,3.39,0.59
199303,2.21,-0.23
