Imperial County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197504,0.45,0.35
197505,0.00,-0.04
197506,0.00,-0.01
197507,0.24,0.06
197508,0.01,-0.38
197509,0.39,0.12
197510,0.02,-0.22
197511,0.05,-0.16
197512,0.12,-0.43
197601,0.02,-0.51
197602,1.63,1.13
197603,0.05,-0.32
197604,0.39,0.29
197605,0.18,0.14
197606,0.00,-0.01
197607,0.50,0.32
197608,0.00,-0.39
197609,1.38,1.11
197610,0.56,0.32
197611,0.57,0.36
197612,0.16,-0.39
197701,0.20,-0.33
197702,0.02,-0.48
197703,0.08,-0.29
197704,0.00,-0.10
197705,0.07,0.03
197706,0.01,0.00
197707,0.02,-0.16
197708,1.68,1.29
197709,0.13,-0.14
197710,0.31,0.07
197711,0.00,-0.21
197712,0.89,0.34
197801,1.67,1.14
197802,0.63,0.13
197803,0.63,0.26
197804,0.13,0.03
197805,0.01,-0.03
197806,0.00,-0.01
197807,0.19,0.01
197808,0.19,-0.20
197809,0.05,-0.22
197810,0.93,0.69
197811,0.69,0.48
197812,0.85,0.30
197901,1.79,1.26
197902,0.19,-0.31
197903,0.67,0.30
197904,0.00,-0.10
197905,0.22,0.18
197906,0.01,0.00
197907,0.53,0.35
197908,0.91,0.52
197909,0.02,-0.25
197910,0.02,-0.22
197911,0.00,-0.21
197912,0.07,-0.48
198001,1.39,0.86
198002,2.02,1.52
198003,1.01,0.64
198004,0.25,0.15
198005,0.11,0.07
198006,0.00,-0.01
198007,0.14,-0.04
198008,0.17,-0.22
198009,0.03,-0.24
198010,0.01,-0.23
198011,0.00,-0.21
198012,0.03,-0.52
198101,0.74,0.21
198102,0.30,-0.20
198103,0.95,0.58
198104,0.00,-0.10
198105,0.17,0.13
198106,0.00,-0.01
198107,0.01,-0.17
198108,0.51,0.12
198109,0.04,-0.23
198110,0.01,-0.23
198111,0.40,0.19
198112,0.01,-0.54
198201,0.37,-0.16
198202,0.24,-0.26
198203,1.22,0.85
198204,0.01,-0.09
198205,0.06,0.02
198206,0.00,-0.01
198207,0.24,0.06
198208,0.52,0.13
198209,0.44,0.17
198210,0.00,-0.24
198211,0.22,0.01
198212,2.11,1.56
198301,0.34,-0.19
198302,1.23,0.73
198303,1.72,1.35
198304,0.03,-0.07
198305,0.00,-0.04
198306,0.00,-0.01
198307,0.00,-0.18
198308,1.72,1.33
198309,0.74,0.47
198310,0.17,-0.07
198311,0.03,-0.18
198312,0.66,0.11
198401,0.16,-0.37
198402,0.00,-0.50
198403,0.00,-0.37
198404,0.11,0.01
198405,0.01,-0.03
198406,0.00,-0.01
198407,0.96,0.78
198408,0.46,0.07
198409,0.09,-0.18
198410,0.00,-0.24
198411,0.44,0.23
198412,1.98,1.43
198501,0.12,-0.41
198502,0.20,-0.30
198503,0.03,-0.34
198504,0.01,-0.09
198505,0.00,-0.04
198506,0.00,-0.01
198507,0.38,0.20
198508,0.02,-0.37
198509,1.01,0.74
198510,0.40,0.16
198511,1.08,0.87
198512,0.56,0.01
198601,0.21,-0.32
198602,0.61,0.11
198603,0.22,-0.15
198604,0.02,-0.08
198605,0.00,-0.04
198606,0.01,0.00
198607,0.42,0.24
198608,0.10,-0.29
198609,0.29,0.02
198610,0.92,0.68
198611,0.24,0.03
198612,0.25,-0.30
198701,0.13,-0.40
198702,0.21,-0.29
198703,0.03,-0.34
198704,0.00,-0.10
198705,0.01,-0.03
198706,0.00,-0.01
