Santa Cruz County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197704,0.21,-1.99
197705,1.48,0.66
197706,0.09,-0.12
197707,0.07,0.05
197708,0.01,-0.04
197709,1.21,0.93
197710,0.45,-0.98
197711,2.88,-0.69
197712,7.41,1.41
197801,15.16,7.97
197802,6.91,0.66
197803,7.84,2.81
197804,5.41,3.21
197805,0.02,-0.80
197806,0.06,-0.15
197807,0.01,-0.01
197808,0.00,-0.05
197809,0.82,0.54
197810,0.00,-1.43
197811,3.92,0.35
197812,1.45,-4.55
197901,8.93,1.74
197902,7.91,1.66
197903,4.68,-0.35
197904,1.35,-0.85
197905,0.52,-0.30
197906,0.00,-0.21
197907,0.14,0.12
197908,0.03,-0.02
197909,0.00,-0.28
197910,3.61,2.18
197911,2.65,-0.92
197912,7.94,1.94
198001,9.08,1.89
198002,11.91,5.66
198003,2.67,-2.36
198004,2.62,0.42
198005,0.58,-0.24
198006,0.14,-0.07
198007,0.12,0.10
198008,0.01,-0.04
198009,0.01,-0.27
198010,0.07,-1.36
198011,0.21,-3.36
198012,3.87,-2.13
198101,8.55,1.36
198102,2.60,-3.65
198103,7.14,2.11
198104,0.41,-1.79
198105,0.30,-0.52
198106,0.00,-0.21
198107,0.00,-0.02
198108,0.00,-0.05
198109,0.16,-0.12
198110,2.62,1.19
198111,8.43,4.86
198112,5.68,-0.32
198201,13.04,5.85
198202,5.11,-1.14
198203,10.30,5.27
198204,6.80,4.60
198205,0.02,-0.80
198206,0.42,0.21
198207,0.01,-0.01
198208,0.06,0.01
198209,1.29,1.01
198210,3.23,1.80
198211,8.46,4.89
198212,5.52,-0.48
198301,11.81,4.62
198302,11.60,5.35
198303,15.22,10.19
198304,6.51,4.31
198305,0.72,-0.10
198306,0.05,-0.16
198307,0.01,-0.01
198308,0.22,0.17
198309,1.18,0.90
198310,1.08,-0.35
198311,10.96,7.39
198312,9.35,3.35
198401,0.48,-6.71
198402,2.50,-3.75
198403,2.23,-2.80
198404,1.19,-1.01
198405,0.10,-0.72
198406,0.24,0.03
198407,0.03,0.01
198408,0.01,-0.04
198409,0.16,-0.12
198410,2.92,1.49
198411,10.14,6.57
198412,2.82,-3.18
198501,1.31,-5.88
198502,3.18,-3.07
198503,6.79,1.76
198504,0.44,-1.76
198505,0.24,-0.58
198506,0.19,-0.02
198507,0.14,0.12
198508,0.02,-0.03
198509,0.51,0.23
198510,1.23,-0.20
198511,5.59,2.02
198512,3.99,-2.01
198601,6.19,-1.00
198602,16.08,9.83
198603,9.50,4.47
198604,0.83,-1.37
198605,0.44,-0.38
198606,0.00,-0.21
198607,0.07,0.05
198608,0.02,-0.03
198609,1.35,1.07
198610,0.11,-1.32
198611,0.15,-3.42
198612,2.01,-3.99
198701,4.07,-3.12
198702,6.29,0.04
198703,4.72,-0.31
198704,0.55,-1.65
198705,0.02,-0.80
198706,0.03,-0.18
198707,0.02,0.00
198708,0.01,-0.04
198709,0.00,-0.28
198710,1.21,-0.22
198711,2.81,-0.76
198712,7.93,1.93
198801,4.24,-2.95
198802,0.74,-5.51
198803,0.09,-4.94
198804,2.73,0.53
198805,0.82,0.00
198806,0.15,-0.06
198807,0.01,-0.01
198808,0.00,-0.05
198809,0.01,-0.27
198810,0.23,-1.20
198811,4.13,0.56
198812,6.51,0.51
198901,1.97,-5.22
198902,1.73,-4.52
198903,7.07,2.04
198904,0.90,-1.30
198905,0.17,-0.65
198906,0.03,-0.18
198907,0.00,-0.02
198908,0.08,0.03
198909,1.09,0.81
198910,2.47,1.04
198911,1.61,-1.96
198912,0.05,-5.95
199001,3.95,-3.24
199002,3.53,-2.72
199003,2.12,-2.91
199004,0.46,-1.74
199005,3.67,2.85
199006,0.01,-0.20
199007,0.04,0.02
199008,0.05,0.00
199009,0.38,0.10
