Colusa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197403,5.28,2.24
197404,1.10,-0.22
197405,0.04,-0.63
197406,0.10,-0.19
197407,0.13,0.12
197408,0.05,0.01
197409,0.00,-0.27
197410,1.16,0.05
197411,0.54,-2.00
197412,4.07,-0.09
197501,0.91,-3.55
197502,7.56,3.48
197503,6.62,3.58
197504,1.05,-0.27
197505,0.02,-0.65
197506,0.02,-0.27
197507,0.13,0.12
197508,0.16,0.12
197509,0.01,-0.26
197510,2.51,1.40
197511,0.65,-1.89
197512,0.79,-3.37
197601,0.30,-4.16
197602,0.87,-3.21
197603,0.87,-2.17
197604,1.52,0.20
197605,0.00,-0.67
197606,0.23,-0.06
197607,0.01,0.00
197608,0.31,0.27
197609,0.36,0.09
197610,0.30,-0.81
197611,0.73,-1.81
197612,0.81,-3.35
197701,1.63,-2.83
197702,1.29,-2.79
197703,1.96,-1.08
197704,0.04,-1.28
197705,1.50,0.83
197706,0.01,-0.28
197707,0.03,0.02
197708,0.01,-0.03
197709,0.64,0.37
197710,0.37,-0.74
197711,2.60,0.06
197712,4.75,0.59
197801,10.21,5.75
197802,5.39,1.31
197803,4.76,1.72
197804,2.27,0.95
197805,0.06,-0.61
197806,0.02,-0.27
197807,0.00,-0.01
197808,0.00,-0.04
197809,0.60,0.33
197810,0.00,-1.11
197811,1.45,-1.09
197812,0.53,-3.63
197901,5.89,1.43
197902,5.14,1.06
197903,2.43,-0.61
197904,1.65,0.33
197905,0.19,-0.48
197906,0.00,-0.29
197907,0.01,0.00
197908,0.10,0.06
197909,0.17,-0.10
197910,2.04,0.93
197911,3.55,1.01
197912,5.12,0.96
198001,4.11,-0.35
198002,8.56,4.48
198003,2.09,-0.95
198004,1.05,-0.27
198005,0.37,-0.30
198006,0.30,0.01
198007,0.06,0.05
198008,0.00,-0.04
198009,0.08,-0.19
198010,0.27,-0.84
198011,0.28,-2.26
198012,3.41,-0.75
198101,5.59,1.13
198102,1.50,-2.58
198103,3.27,0.23
198104,0.99,-0.33
198105,0.36,-0.31
198106,0.00,-0.29
198107,0.02,0.01
198108,0.00,-0.04
198109,0.55,0.28
198110,2.62,1.51
198111,6.48,3.94
198112,4.96,0.80
198201,4.86,0.40
198202,2.20,-1.88
198203,3.98,0.94
198204,2.31,0.99
198205,0.00,-0.67
198206,0.51,0.22
198207,0.02,0.01
198208,0.02,-0.02
198209,0.90,0.63
198210,3.33,2.22
198211,5.23,2.69
198212,3.94,-0.22
198301,6.65,2.19
198302,7.76,3.68
198303,10.38,7.34
198304,4.07,2.75
198305,0.51,-0.16
198306,0.17,-0.12
198307,0.00,-0.01
198308,0.20,0.16
198309,0.62,0.35
198310,0.69,-0.42
198311,9.08,6.54
198312,10.61,6.45
198401,0.57,-3.89
198402,1.89,-2.19
198403,1.30,-1.74
198404,0.56,-0.76
198405,0.06,-0.61
198406,0.09,-0.20
198407,0.00,-0.01
198408,0.27,0.23
198409,0.10,-0.17
198410,1.35,0.24
198411,7.18,4.64
198412,2.15,-2.01
198501,0.72,-3.74
198502,1.58,-2.50
198503,3.41,0.37
198504,0.26,-1.06
198505,0.00,-0.67
198506,0.01,-0.28
198507,0.00,-0.01
198508,0.07,0.03
198509,1.05,0.78
198510,0.47,-0.64
198511,3.75,1.21
198512,2.81,-1.35
198601,5.21,0.75
198602,10.34,6.26
198603,4.64,1.60
198604,0.78,-0.54
198605,0.17,-0.50
198606,0.00,-0.29
198607,0.00,-0.01
198608,0.00,-0.04
198609,0.66,0.39
198610,0.35,-0.76
198611,0.17,-2.37
198612,1.72,-2.44
198701,2.77,-1.69
198702,3.16,-0.92
198703,3.99,0.95
198704,0.09,-1.23
198705,0.06,-0.61
198706,0.01,-0.28
198707,0.06,0.05
198708,0.00,-0.04
198709,0.02,-0.25
198710,1.12,0.01
198711,2.64,0.10
198712,6.78,2.62
198801,5.68,1.22
198802,0.74,-3.34
198803,0.43,-2.61
198804,1.89,0.57
198805,0.86,0.19
198806,0.43,0.14
198807,0.00,-0.01
198808,0.00,-0.04
198809,0.00,-0.27
198810,0.05,-1.06
198811,3.59,1.05
198812,3.27,-0.89
198901,0.72,-3.74
198902,0.81,-3.27
198903,6.47,3.43
198904,0.69,-0.63
198905,0.20,-0.47
198906,0.46,0.17
198907,0.00,-0.01
198908,0.01,-0.03
198909,1.53,1.26
198910,2.39,1.28
198911,0.84,-1.70
198912,0.00,-4.16
199001,4.34,-0.12
199002,1.92,-2.16
199003,1.17,-1.87
199004,0.14,-1.18
199005,2.52,1.85
199006,0.00,-0.29
199007,0.00,-0.01
199008,0.06,0.02
199009,0.31,0.04
199010,0.35,-0.76
199011,0.44,-2.10
199012,1.19,-2.97
199101,0.53,-3.93
199102,3.19,-0.89
199103,10.86,7.82
199104,0.52,-0.80
199105,0.33,-0.34
199106,0.71,0.42
199107,0.01,0.00
199108,0.01,-0.03
199109,0.00,-0.27
199110,0.50,-0.61
199111,0.94,-1.60
199112,3.61,-0.55
199201,2.13,-2.33
199202,7.18,3.10
199203,4.33,1.29
199204,0.82,-0.50
199205,0.02,-0.65
199206,1.13,0.84
199207,0.04,0.03
199208,0.00,-0.04
199209,0.00,-0.27
199210,2.44,1.33
199211,0.48,-2.06
199212,7.76,3.60
199301,10.02,5.56
199302,7.99,3.91
