Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197203,0.04,-2.00
197204,0.99,-0.12
197205,0.57,-0.34
197206,1.01,0.51
197207,0.18,-0.29
197208,0.40,-0.10
197209,1.35,0.82
197210,2.70,1.90
197211,2.07,0.59
197212,1.20,-1.00
197301,3.58,0.94
197302,3.57,1.15
197303,2.15,0.11
197304,0.37,-0.74
197305,0.96,0.05
197306,0.26,-0.24
197307,0.19,-0.28
197308,0.63,0.13
197309,0.01,-0.52
197310,0.79,-0.01
197311,4.09,2.61
197312,2.14,-0.06
197401,2.63,-0.01
197402,0.30,-2.12
197403,3.12,1.08
197404,0.84,-0.27
197405,0.42,-0.49
197406,0.04,-0.46
197407,1.25,0.78
197408,0.64,0.14
197409,0.00,-0.53
197410,1.70,0.90
197411,0.83,-0.65
197412,1.99,-0.21
197501,0.72,-1.92
197502,2.69,0.27
197503,4.25,2.21
197504,1.60,0.49
197505,0.31,-0.60
197506,0.23,-0.27
197507,0.22,-0.25
197508,0.63,0.13
197509,1.42,0.89
197510,1.72,0.92
197511,0.37,-1.11
197512,0.23,-1.97
197601,0.23,-2.41
197602,2.21,-0.21
197603,0.78,-1.26
197604,0.89,-0.22
197605,0.68,-0.23
197606,0.20,-0.30
197607,2.12,1.65
197608,0.66,0.16
197609,2.05,1.52
197610,0.31,-0.49
197611,0.17,-1.31
197612,0.11,-2.09
197701,1.22,-1.42
197702,0.95,-1.47
197703,0.93,-1.11
197704,0.25,-0.86
197705,1.95,1.04
197706,1.84,1.34
197707,0.16,-0.31
197708,0.67,0.17
197709,0.11,-0.42
197710,0.13,-0.67
197711,1.92,0.44
197712,5.64,3.44
197801,3.57,0.93
197802,4.90,2.48
197803,3.53,1.49
197804,1.86,0.75
197805,0.21,-0.70
197806,0.20,-0.30
197807,0.27,-0.20
197808,0.33,-0.17
197809,1.45,0.92
197810,0.49,-0.31
197811,1.54,0.06
197812,1.19,-1.01
197901,2.95,0.31
197902,2.79,0.37
197903,2.36,0.32
197904,0.44,-0.67
197905,0.52,-0.39
197906,0.02,-0.48
197907,0.38,-0.09
197908,0.51,0.01
197909,0.29,-0.24
197910,0.89,0.09
197911,0.82,-0.66
197912,2.39,0.19
198001,5.74,3.10
198002,5.23,2.81
198003,1.68,-0.36
198004,1.30,0.19
198005,1.54,0.63
198006,0.14,-0.36
198007,0.39,-0.08
