Tuolumne County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198911,2.80,-1.53
198912,0.06,-6.31
199001,5.38,-2.30
199002,4.36,-2.67
199003,2.58,-3.76
199004,2.78,-0.61
199005,3.35,1.49
199006,0.28,-0.41
199007,0.42,0.25
199008,0.23,0.04
199009,0.55,-0.19
199010,0.37,-1.69
199011,1.55,-2.78
199012,1.65,-4.72
199101,0.56,-7.12
199102,2.06,-4.97
199103,18.01,11.67
199104,1.31,-2.08
199105,1.98,0.12
199106,0.74,0.05
199107,0.11,-0.06
199108,0.13,-0.06
199109,0.39,-0.35
199110,4.87,2.81
199111,2.10,-2.23
199112,3.14,-3.23
199201,1.87,-5.81
199202,7.64,0.61
199203,3.99,-2.35
199204,0.57,-2.82
199205,0.48,-1.38
199206,1.44,0.75
199207,0.88,0.71
199208,0.27,0.08
199209,0.12,-0.62
199210,3.42,1.36
199211,0.36,-3.97
199212,11.90,5.53
199301,13.93,6.25
