Mendocino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198006,0.31,-0.19
198007,0.01,-0.03
198008,0.00,-0.13
198009,0.13,-0.53
198010,1.93,-0.95
198011,2.06,-4.62
198012,8.32,-1.08
198101,11.36,0.89
198102,5.72,-3.10
198103,5.84,-1.19
198104,0.97,-2.46
198105,1.69,0.12
198106,0.09,-0.41
198107,0.04,0.00
198108,0.01,-0.12
198109,1.82,1.16
198110,6.59,3.71
198111,15.32,8.64
198112,15.53,6.13
198201,7.63,-2.84
198202,8.09,-0.73
198203,11.53,4.50
198204,8.72,5.29
198205,0.06,-1.51
198206,0.41,-0.09
198207,0.01,-0.03
198208,0.07,-0.06
198209,1.17,0.51
198210,6.42,3.54
198211,13.23,6.55
198212,13.03,3.63
198301,12.19,1.72
198302,18.38,9.56
198303,21.60,14.57
198304,7.37,3.94
198305,0.90,-0.67
198306,0.13,-0.37
198307,0.23,0.19
198308,0.94,0.81
198309,0.53,-0.13
198310,1.55,-1.33
198311,18.72,12.04
198312,18.34,8.94
198401,0.82,-9.65
198402,6.70,-2.12
198403,4.65,-2.38
198404,3.58,0.15
198405,1.11,-0.46
198406,0.75,0.25
198407,0.00,-0.04
198408,0.09,-0.04
198409,0.31,-0.35
198410,4.33,1.45
198411,18.29,11.61
198412,3.19,-6.21
198501,1.06,-9.41
198502,5.06,-3.76
198503,7.40,0.37
198504,0.31,-3.12
198505,0.29,-1.28
198506,0.06,-0.44
198507,0.03,-0.01
198508,0.14,0.01
198509,1.80,1.14
198510,3.38,0.50
198511,6.68,0.00
198512,5.02,-4.38
198601,11.22,0.75
198602,23.00,14.18
198603,10.12,3.09
198604,1.48,-1.95
198605,1.37,-0.20
198606,0.05,-0.45
198607,0.01,-0.03
198608,0.00,-0.13
198609,2.90,2.24
198610,2.16,-0.72
198611,1.07,-5.61
198612,5.00,-4.40
198701,8.94,-1.53
198702,6.90,-1.92
198703,10.11,3.08
198704,0.54,-2.89
198705,0.56,-1.01
198706,0.07,-0.43
198707,0.05,0.01
198708,0.00,-0.13
198709,0.00,-0.66
198710,1.80,-1.08
198711,6.37,-0.31
198712,15.60,6.20
198801,10.47,0.00
198802,0.39,-8.43
198803,0.56,-6.47
198804,3.10,-0.33
198805,1.43,-0.14
198806,1.38,0.88
198807,0.00,-0.04
198808,0.01,-0.12
198809,0.00,-0.66
198810,0.68,-2.20
198811,13.64,6.96
198812,6.33,-3.07
198901,3.44,-7.03
198902,1.72,-7.10
198903,16.26,9.23
198904,2.40,-1.03
198905,0.69,-0.88
198906,0.62,0.12
198907,0.00,-0.04
198908,0.10,-0.03
198909,2.62,1.96
198910,5.49,2.61
198911,2.23,-4.45
198912,0.14,-9.26
199001,10.05,-0.42
199002,5.28,-3.54
199003,3.40,-3.63
199004,0.89,-2.54
199005,8.03,6.46
199006,0.12,-0.38
199007,0.02,-0.02
199008,0.13,0.00
199009,0.50,-0.16
199010,1.73,-1.15
199011,0.88,-5.80
199012,2.34,-7.06
199101,1.70,-8.77
199102,4.45,-4.37
199103,16.87,9.84
199104,1.39,-2.04
199105,1.06,-0.51
199106,0.49,-0.01
199107,0.05,0.01
199108,0.10,-0.03
199109,0.01,-0.65
199110,2.78,-0.10
199111,3.09,-3.59
199112,4.50,-4.90
199201,4.60,-5.87
199202,12.50,3.68
199203,6.63,-0.40
199204,2.67,-0.76
199205,0.23,-1.34
199206,1.95,1.45
199207,0.05,0.01
199208,0.01,-0.12
199209,0.06,-0.60
199210,5.10,2.22
199211,2.26,-4.42
