Santa Clara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197112,5.54,1.43
197201,1.66,-3.18
197202,1.12,-3.08
197203,0.14,-3.57
197204,0.98,-0.68
197205,0.04,-0.62
197206,0.13,-0.01
197207,0.01,0.00
197208,0.00,-0.05
197209,0.48,0.24
197210,3.20,2.17
197211,7.74,5.27
197212,2.40,-1.71
197301,7.60,2.76
197302,8.51,4.31
197303,3.48,-0.23
197304,0.29,-1.37
197305,0.02,-0.64
197306,0.00,-0.14
197307,0.00,-0.01
197308,0.00,-0.05
197309,0.18,-0.06
197310,2.70,1.67
197311,5.95,3.48
197312,5.53,1.42
197401,3.84,-1.00
197402,1.07,-3.13
197403,6.11,2.40
197404,2.80,1.14
197405,0.01,-0.65
197406,0.17,0.03
197407,0.08,0.07
197408,0.00,-0.05
197409,0.00,-0.24
197410,1.84,0.81
197411,0.89,-1.58
197412,3.49,-0.62
197501,1.28,-3.56
197502,5.80,1.60
197503,6.72,3.01
197504,2.11,0.45
197505,0.02,-0.64
197506,0.07,-0.07
197507,0.07,0.06
197508,0.39,0.34
197509,0.02,-0.22
197510,2.39,1.36
197511,0.45,-2.02
197512,0.35,-3.76
197601,0.27,-4.57
197602,1.71,-2.49
197603,1.81,-1.90
197604,1.21,-0.45
197605,0.01,-0.65
197606,0.15,0.01
197607,0.01,0.00
197608,0.40,0.35
197609,1.16,0.92
197610,0.82,-0.21
197611,1.39,-1.08
197612,1.45,-2.66
197701,1.75,-3.09
197702,0.88,-3.32
197703,2.02,-1.69
197704,0.10,-1.56
197705,1.56,0.90
197706,0.09,-0.05
197707,0.03,0.02
197708,0.00,-0.05
197709,0.64,0.40
197710,0.23,-0.80
197711,1.54,-0.93
197712,5.14,1.03
197801,9.05,4.21
197802,4.88,0.68
197803,6.20,2.49
197804,4.23,2.57
197805,0.02,-0.64
197806,0.02,-0.12
197807,0.00,-0.01
197808,0.00,-0.05
197809,0.37,0.13
197810,0.00,-1.03
197811,2.47,0.00
197812,1.06,-3.05
197901,5.55,0.71
197902,5.38,1.18
197903,3.49,-0.22
197904,1.00,-0.66
197905,0.35,-0.31
197906,0.00,-0.14
197907,0.09,0.08
197908,0.03,-0.02
197909,0.00,-0.24
197910,2.60,1.57
197911,2.14,-0.33
197912,4.69,0.58
198001,6.12,1.28
198002,7.29,3.09
198003,2.41,-1.30
198004,1.95,0.29
198005,0.50,-0.16
198006,0.03,-0.11
198007,0.09,0.08
198008,0.00,-0.05
198009,0.00,-0.24
198010,0.10,-0.93
198011,0.20,-2.27
198012,2.36,-1.75
198101,6.06,1.22
198102,1.90,-2.30
198103,5.10,1.39
198104,0.70,-0.96
198105,0.19,-0.47
198106,0.00,-0.14
198107,0.00,-0.01
198108,0.00,-0.05
198109,0.07,-0.17
198110,2.34,1.31
198111,5.80,3.33
198112,3.69,-0.42
198201,7.30,2.46
198202,3.28,-0.92
198203,8.16,4.45
198204,4.05,2.39
198205,0.00,-0.66
198206,0.38,0.24
198207,0.00,-0.01
198208,0.03,-0.02
198209,1.18,0.94
198210,2.39,1.36
198211,6.67,4.20
198212,3.81,-0.30
198301,8.44,3.60
198302,7.28,3.08
198303,9.84,6.13
198304,4.56,2.90
198305,0.43,-0.23
198306,0.01,-0.13
198307,0.02,0.01
198308,0.20,0.15
198309,0.98,0.74
198310,0.69,-0.34
198311,7.69,5.22
198312,6.57,2.46
198401,0.37,-4.47
198402,2.37,-1.83
198403,1.61,-2.10
198404,0.90,-0.76
198405,0.04,-0.62
198406,0.13,-0.01
198407,0.02,0.01
198408,0.02,-0.03
198409,0.09,-0.15
198410,2.36,1.33
198411,6.71,4.24
198412,2.29,-1.82
198501,0.94,-3.90
198502,1.95,-2.25
198503,4.92,1.21
198504,0.42,-1.24
198505,0.17,-0.49
198506,0.18,0.04
198507,0.05,0.04
198508,0.01,-0.04
198509,0.38,0.14
198510,1.15,0.12
198511,4.42,1.95
198512,2.52,-1.59
198601,3.25,-1.59
198602,9.50,5.30
198603,6.47,2.76
198604,0.93,-0.73
198605,0.43,-0.23
198606,0.00,-0.14
198607,0.02,0.01
198608,0.00,-0.05
198609,1.17,0.93
198610,0.10,-0.93
198611,0.20,-2.27
198612,1.43,-2.68
198701,2.80,-2.04
198702,4.26,0.06
198703,3.37,-0.34
198704,0.49,-1.17
198705,0.04,-0.62
198706,0.01,-0.13
198707,0.00,-0.01
198708,0.00,-0.05
198709,0.00,-0.24
198710,1.10,0.07
198711,2.00,-0.47
198712,4.56,0.45
198801,2.92,-1.92
198802,0.62,-3.58
198803,0.29,-3.42
198804,2.20,0.54
198805,0.76,0.10
198806,0.27,0.13
198807,0.00,-0.01
198808,0.00,-0.05
198809,0.01,-0.23
198810,0.09,-0.94
198811,3.13,0.66
198812,4.55,0.44
198901,1.60,-3.24
198902,1.67,-2.53
198903,4.70,0.99
198904,0.70,-0.96
198905,0.15,-0.51
198906,0.01,-0.13
198907,0.00,-0.01
198908,0.06,0.01
198909,1.17,0.93
198910,1.90,0.87
198911,1.35,-1.12
198912,0.03,-4.08
199001,3.28,-1.56
199002,3.14,-1.06
199003,1.69,-2.02
199004,0.41,-1.25
199005,2.74,2.08
199006,0.00,-0.14
199007,0.04,0.03
199008,0.01,-0.04
199009,0.70,0.46
199010,0.18,-0.85
199011,0.41,-2.06
199012,2.08,-2.03
199101,0.33,-4.51
199102,2.62,-1.58
199103,10.56,6.85
199104,0.46,-1.20
199105,0.36,-0.30
199106,0.13,-0.01
199107,0.01,0.00
199108,0.15,0.10
199109,0.09,-0.15
199110,2.03,1.00
199111,0.67,-1.80
199112,3.43,-0.68
199201,2.42,-2.42
199202,8.42,4.22
199203,4.04,0.33
199204,0.24,-1.42
199205,0.00,-0.66
199206,0.26,0.12
199207,0.04,0.03
199208,0.02,-0.03
199209,0.00,-0.24
199210,1.34,0.31
199211,0.15,-2.32
199212,7.51,3.40
