Orange County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
196501,0.59,-2.27
196502,0.34,-2.61
196503,1.79,-0.63
196504,4.36,3.36
196505,0.01,-0.24
196506,0.04,-0.02
196507,0.12,0.10
196508,0.04,-0.01
196509,0.53,0.33
196510,0.00,-0.48
196511,6.01,4.82
196512,4.12,2.03
196601,0.88,-1.98
196602,1.30,-1.65
196603,0.40,-2.02
196604,0.02,-0.98
196605,0.07,-0.18
196606,0.00,-0.06
196607,0.00,-0.02
196608,0.00,-0.05
196609,0.08,-0.12
196610,0.13,-0.35
196611,2.08,0.89
196612,5.82,3.73
196701,3.55,0.69
196702,0.01,-2.94
196703,1.72,-0.70
196704,3.36,2.36
196705,0.12,-0.13
196706,0.06,0.00
196707,0.00,-0.02
196708,0.02,-0.03
196709,0.46,0.26
196710,0.00,-0.48
196711,3.63,2.44
196712,1.63,-0.46
196801,0.81,-2.05
196802,0.50,-2.45
196803,2.50,0.08
196804,0.66,-0.34
196805,0.08,-0.17
196806,0.02,-0.04
196807,0.13,0.11
196808,0.03,-0.02
196809,0.00,-0.20
196810,0.27,-0.21
196811,0.50,-0.69
196812,1.18,-0.91
196901,10.24,7.38
196902,9.01,6.06
196903,1.09,-1.33
196904,0.72,-0.28
196905,0.20,-0.05
196906,0.04,-0.02
196907,0.09,0.07
196908,0.01,-0.04
196909,0.01,-0.19
196910,0.00,-0.48
196911,1.86,0.67
196912,0.14,-1.95
197001,1.61,-1.25
197002,2.03,-0.92
197003,2.82,0.40
197004,0.04,-0.96
197005,0.01,-0.24
197006,0.06,0.00
197007,0.00,-0.02
197008,0.02,-0.03
197009,0.00,-0.20
197010,0.05,-0.43
197011,3.42,2.23
197012,3.55,1.46
197101,0.72,-2.14
197102,0.61,-2.34
197103,0.36,-2.06
197104,0.53,-0.47
197105,0.60,0.35
197106,0.03,-0.03
197107,0.00,-0.02
197108,0.00,-0.05
197109,0.00,-0.20
197110,0.38,-0.10
197111,0.24,-0.95
197112,4.91,2.82
197201,0.00,-2.86
197202,0.10,-2.85
197203,0.01,-2.41
197204,0.13,-0.87
197205,0.11,-0.14
197206,0.18,0.12
197207,0.00,-0.02
197208,0.21,0.16
197209,0.11,-0.09
197210,0.38,-0.10
197211,2.84,1.65
197212,1.57,-0.52
197301,3.26,0.40
197302,5.15,2.20
197303,3.01,0.59
197304,0.04,-0.96
197305,0.04,-0.21
197306,0.02,-0.04
197307,0.00,-0.02
197308,0.01,-0.04
197309,0.01,-0.19
197310,0.07,-0.41
197311,1.57,0.38
197312,0.31,-1.78
197401,5.52,2.66
197402,0.13,-2.82
197403,3.10,0.68
197404,0.39,-0.61
197405,0.15,-0.10
197406,0.02,-0.04
197407,0.01,-0.01
197408,0.00,-0.05
197409,0.00,-0.20
197410,0.62,0.14
197411,0.09,-1.10
197412,3.38,1.29
197501,0.31,-2.55
197502,2.15,-0.80
197503,3.58,1.16
197504,1.97,0.97
197505,0.09,-0.16
197506,0.02,-0.04
197507,0.00,-0.02
197508,0.00,-0.05
197509,0.01,-0.19
197510,0.27,-0.21
197511,0.39,-0.80
197512,0.28,-1.81
197601,0.00,-2.86
197602,3.49,0.54
197603,1.59,-0.83
197604,1.23,0.23
197605,0.10,-0.15
197606,0.25,0.19
197607,0.02,0.00
197608,0.02,-0.03
197609,1.18,0.98
197610,0.30,-0.18
197611,0.54,-0.65
