San Benito County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195807,0.00,-0.01
195808,0.04,0.02
195809,0.80,0.60
195810,0.00,-0.66
195811,0.50,-1.17
195812,0.32,-2.49
195901,3.33,-0.12
195902,6.02,2.70
195903,0.21,-2.60
195904,0.45,-0.81
195905,0.05,-0.40
195906,0.00,-0.07
195907,0.00,-0.01
195908,0.00,-0.02
195909,0.85,0.65
195910,0.00,-0.66
195911,0.00,-1.67
195912,0.46,-2.35
196001,3.20,-0.25
196002,4.62,1.30
196003,0.79,-2.02
196004,1.38,0.12
196005,0.18,-0.27
196006,0.00,-0.07
196007,0.00,-0.01
196008,0.00,-0.02
196009,0.07,-0.13
196010,0.08,-0.58
196011,3.57,1.90
196012,1.00,-1.81
196101,2.22,-1.23
196102,0.68,-2.64
196103,1.91,-0.90
196104,0.73,-0.53
196105,0.52,0.07
196106,0.12,0.05
196107,0.01,0.00
196108,0.04,0.02
196109,0.02,-0.18
196110,0.02,-0.64
196111,2.84,1.17
196112,1.95,-0.86
196201,2.26,-1.19
196202,8.67,5.35
196203,1.91,-0.90
196204,0.11,-1.15
196205,0.06,-0.39
196206,0.01,-0.06
196207,0.00,-0.01
196208,0.01,-0.01
196209,0.01,-0.19
196210,0.90,0.24
196211,0.13,-1.54
196212,2.52,-0.29
196301,3.51,0.06
196302,3.55,0.23
196303,3.27,0.46
196304,3.43,2.17
196305,0.48,0.03
196306,0.23,0.16
196307,0.00,-0.01
196308,0.02,0.00
196309,0.23,0.03
196310,1.37,0.71
196311,3.05,1.38
196312,0.26,-2.55
196401,2.70,-0.75
196402,0.12,-3.20
196403,2.03,-0.78
196404,0.32,-0.94
196405,0.44,-0.01
196406,0.22,0.15
196407,0.00,-0.01
196408,0.14,0.12
196409,0.07,-0.13
196410,1.57,0.91
196411,2.68,1.01
196412,4.67,1.86
196501,2.03,-1.42
196502,0.56,-2.76
196503,2.38,-0.43
196504,2.83,1.57
196505,0.00,-0.45
196506,0.00,-0.07
196507,0.07,0.06
196508,0.11,0.09
196509,0.02,-0.18
196510,0.04,-0.62
196511,6.90,5.23
196512,3.76,0.95
196601,1.25,-2.20
196602,1.02,-2.30
196603,0.23,-2.58
196604,0.20,-1.06
196605,0.14,-0.31
196606,0.03,-0.04
196607,0.14,0.13
196608,0.00,-0.02
196609,0.29,0.09
196610,0.00,-0.66
196611,2.55,0.88
196612,5.28,2.47
196701,4.82,1.37
196702,0.41,-2.91
196703,4.13,1.32
196704,5.12,3.86
196705,0.21,-0.24
196706,0.17,0.10
196707,0.00,-0.01
196708,0.00,-0.02
196709,0.21,0.01
196710,0.21,-0.45
196711,1.70,0.03
196712,1.76,-1.05
196801,1.57,-1.88
196802,1.27,-2.05
196803,2.15,-0.66
196804,0.77,-0.49
196805,0.22,-0.23
196806,0.00,-0.07
196807,0.00,-0.01
196808,0.02,0.00
196809,0.00,-0.20
196810,1.05,0.39
196811,2.14,0.47
196812,3.10,0.29
196901,10.02,6.57
196902,8.30,4.98
196903,0.92,-1.89
196904,1.98,0.72
196905,0.01,-0.44
196906,0.04,-0.03
196907,0.00,-0.01
196908,0.00,-0.02
196909,0.62,0.42
196910,0.69,0.03
196911,0.89,-0.78
196912,1.76,-1.05
197001,5.31,1.86
197002,1.61,-1.71
197003,2.39,-0.42
197004,0.34,-0.92
197005,0.00,-0.45
197006,0.09,0.02
197007,0.00,-0.01
197008,0.00,-0.02
197009,0.00,-0.20
197010,0.22,-0.44
197011,5.57,3.90
197012,4.72,1.91
197101,1.04,-2.41
197102,0.39,-2.93
197103,1.24,-1.57
197104,1.56,0.30
197105,0.78,0.33
197106,0.00,-0.07
197107,0.00,-0.01
197108,0.01,-0.01
197109,0.06,-0.14
197110,0.19,-0.47
197111,1.08,-0.59
197112,4.49,1.68
197201,0.75,-2.70
197202,0.53,-2.79
197203,0.01,-2.80
197204,0.60,-0.66
197205,0.01,-0.44
197206,0.08,0.01
197207,0.00,-0.01
197208,0.01,-0.01
197209,0.13,-0.07
197210,1.89,1.23
197211,5.70,4.03
197212,1.80,-1.01
197301,5.10,1.65
197302,7.41,4.09
197303,3.19,0.38
197304,0.18,-1.08
197305,0.04,-0.41
197306,0.00,-0.07
197307,0.00,-0.01
197308,0.01,-0.01
197309,0.02,-0.18
197310,1.65,0.99
197311,2.99,1.32
197312,3.49,0.68
197401,4.25,0.80
197402,0.40,-2.92
197403,4.75,1.94
197404,1.57,0.31
197405,0.02,-0.43
197406,0.04,-0.03
197407,0.09,0.08
197408,0.00,-0.02
197409,0.00,-0.20
197410,1.66,1.00
197411,0.55,-1.12
197412,3.62,0.81
197501,0.47,-2.98
197502,6.02,2.70
197503,4.95,2.14
197504,1.87,0.61
197505,0.00,-0.45
197506,0.01,-0.06
197507,0.07,0.06
197508,0.19,0.17
197509,0.09,-0.11
197510,1.36,0.70
197511,0.26,-1.41
197512,0.16,-2.65
197601,0.13,-3.32
197602,2.03,-1.29
197603,1.20,-1.61
197604,1.66,0.40
197605,0.00,-0.45
197606,0.10,0.03
197607,0.00,-0.01
197608,0.19,0.17
197609,1.34,1.14
197610,0.64,-0.02
197611,1.00,-0.67
197612,1.46,-1.35
197701,1.54,-1.91
197702,0.34,-2.98
197703,1.20,-1.61
197704,0.02,-1.24
197705,1.77,1.32
197706,0.14,0.07
197707,0.00,-0.01
197708,0.00,-0.02
197709,0.20,0.00
197710,0.07,-0.59
197711,0.47,-1.20
197712,5.99,3.18
197801,6.88,3.43
197802,6.38,3.06
197803,6.28,3.47
197804,3.61,2.35
197805,0.02,-0.43
197806,0.03,-0.04
197807,0.00,-0.01
197808,0.00,-0.02
197809,0.42,0.22
197810,0.00,-0.66
197811,2.46,0.79
197812,0.78,-2.03
197901,5.37,1.92
197902,3.90,0.58
197903,3.38,0.57
197904,0.37,-0.89
197905,0.19,-0.26
197906,0.00,-0.07
197907,0.06,0.05
197908,0.00,-0.02
197909,0.00,-0.20
197910,1.24,0.58
197911,1.55,-0.12
197912,2.92,0.11
198001,4.98,1.53
198002,5.63,2.31
198003,2.05,-0.76
198004,1.12,-0.14
198005,0.53,0.08
198006,0.01,-0.06
198007,0.13,0.12
198008,0.00,-0.02
198009,0.01,-0.19
198010,0.07,-0.59
198011,0.11,-1.56
198012,1.15,-1.66
198101,4.08,0.63
198102,1.63,-1.69
198103,4.17,1.36
198104,1.37,0.11
198105,0.09,-0.36
198106,0.00,-0.07
198107,0.00,-0.01
198108,0.00,-0.02
198109,0.01,-0.19
198110,1.39,0.73
198111,4.23,2.56
198112,1.40,-1.41
198201,4.13,0.68
198202,1.43,-1.89
198203,5.33,2.52
198204,3.28,2.02
198205,0.00,-0.45
198206,0.33,0.26
198207,0.00,-0.01
198208,0.00,-0.02
198209,1.11,0.91
198210,1.33,0.67
198211,5.11,3.44
198212,3.51,0.70
198301,6.17,2.72
198302,4.68,1.36
198303,8.66,5.85
198304,3.14,1.88
198305,0.22,-0.23
198306,0.01,-0.06
198307,0.00,-0.01
198308,0.18,0.16
198309,1.12,0.92
198310,0.98,0.32
198311,4.29,2.62
198312,4.41,1.60
198401,0.28,-3.17
198402,1.05,-2.27
198403,0.93,-1.88
198404,0.38,-0.88
198405,0.01,-0.44
198406,0.02,-0.05
198407,0.01,0.00
198408,0.05,0.03
198409,0.09,-0.11
198410,1.11,0.45
198411,4.10,2.43
198412,2.92,0.11
198501,0.63,-2.82
198502,0.98,-2.34
198503,3.18,0.37
198504,0.28,-0.98
198505,0.03,-0.42
198506,0.04,-0.03
198507,0.02,0.01
198508,0.00,-0.02
198509,0.10,-0.10
198510,0.75,0.09
198511,4.18,2.51
198512,1.04,-1.77
198601,1.58,-1.87
198602,6.28,2.96
198603,5.84,3.03
198604,0.95,-0.31
198605,0.18,-0.27
198606,0.00,-0.07
198607,0.01,0.00
198608,0.00,-0.02
198609,0.91,0.71
198610,0.01,-0.65
198611,0.16,-1.51
198612,0.93,-1.88
198701,2.43,-1.02
198702,3.53,0.21
198703,2.81,0.00
198704,0.41,-0.85
198705,0.18,-0.27
198706,0.01,-0.06
198707,0.00,-0.01
198708,0.00,-0.02
198709,0.01,-0.19
198710,1.89,1.23
198711,1.18,-0.49
198712,3.13,0.32
198801,2.27,-1.18
198802,1.31,-2.01
198803,0.17,-2.64
198804,1.49,0.23
198805,0.51,0.06
198806,0.23,0.16
198807,0.00,-0.01
198808,0.00,-0.02
198809,0.00,-0.20
198810,0.00,-0.66
198811,1.30,-0.37
198812,3.62,0.81
198901,0.81,-2.64
198902,1.14,-2.18
198903,1.64,-1.17
198904,0.36,-0.90
198905,0.13,-0.32
198906,0.00,-0.07
198907,0.00,-0.01
198908,0.02,0.00
198909,1.35,1.15
198910,0.94,0.28
198911,0.82,-0.85
198912,0.03,-2.78
199001,2.10,-1.35
199002,2.32,-1.00
199003,0.94,-1.87
199004,0.30,-0.96
199005,1.51,1.06
199006,0.00,-0.07
199007,0.00,-0.01
199008,0.01,-0.01
199009,0.40,0.20
199010,0.05,-0.61
199011,0.27,-1.40
199012,1.12,-1.69
199101,0.54,-2.91
199102,2.57,-0.75
199103,8.93,6.12
199104,0.31,-0.95
199105,0.12,-0.33
199106,0.03,-0.04
199107,0.00,-0.01
199108,0.08,0.06
199109,0.14,-0.06
199110,0.80,0.14
199111,0.32,-1.35
199112,3.42,0.61
199201,1.79,-1.66
199202,6.05,2.73
199203,3.67,0.86
199204,0.03,-1.23
199205,0.00,-0.45
199206,0.03,-0.04
199207,0.09,0.08
199208,0.00,-0.02
199209,0.00,-0.20
199210,1.22,0.56
199211,0.02,-1.65
199212,4.71,1.90
